,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,ECG_R_Peaks,ratio p/r peaks,ratio q/r peaks,ratio s/r peaks,ratio t/r peaks,arrythmia
7200-10800,852.5252525252525,25.982382013283047,25.564611921874516,26.36694994463173,0.03047696468382727,0.02998692630646418,855.5555555555555,37.06499999999983,0.04332272727272707,44.44444444444434,825.0,875.0,9.090909090909092,36.36363636363637,813.8888888888889,886.1111111111111,3.6666666666666665,39.0625,10,5,11,10,12,0.8333333333333334,0.4166666666666667,0.9166666666666666,0.8333333333333334,0
10800-14400,856.060606060606,29.313602945060367,28.327886186626593,29.577500439285604,0.0342424388384776,0.03309098209411248,858.3333333333333,32.94666666666659,0.03838446601941738,44.44444444444446,825.0,875.0,0.0,36.36363636363637,811.1111111111111,894.4444444444445,3.6666666666666665,70.3125,11,4,11,9,12,0.9166666666666666,0.3333333333333333,0.9166666666666666,0.75,0
14400-18000,844.1666666666667,24.196625392481668,24.879683041748923,26.380765481311837,0.028663327217154984,0.029472477443335345,847.2222222222222,37.065,0.04374885245901639,38.19444444444457,822.2222222222222,866.1111111111111,0.0,50.0,811.1111111111111,880.5555555555555,3.3333333333333335,15.625,10,4,10,7,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.6363636363636364,1
21600-25200,855.0505050505052,24.683746020826163,21.87224409447725,22.13718296632386,0.028868173137174127,0.025580061020121055,866.6666666666667,28.828333333333518,0.03326346153846175,36.1111111111112,830.5555555555557,872.2222222222223,0.0,45.45454545454545,819.4444444444445,891.6666666666667,5.5,0.0,10,6,11,9,12,0.8333333333333334,0.5,0.9166666666666666,0.75,0
25200-28800,843.4343434343434,16.446355335330022,13.916638944305962,14.64310209475699,0.019499271595181705,0.016499967131572337,836.1111111111111,16.473333333333294,0.019702325581395303,27.77777777777783,827.7777777777777,855.5555555555555,0.0,9.090909090909092,825.0,872.2222222222223,2.75,0.0,9,4,11,10,12,0.75,0.3333333333333333,0.9166666666666666,0.8333333333333334,0
28800-32400,836.9444444444446,62.690724083754255,73.10711460426624,73.44203737113776,0.07490428367126295,0.08735002076845617,858.3333333333333,28.828333333333266,0.03358640776699021,29.166666666666742,833.3333333333333,868.8888888888889,10.0,30.0,666.6666666666666,880.5555555555555,3.3333333333333335,195.3125,10,6,10,11,11,0.9090909090909091,0.5454545454545454,0.9090909090909091,1.0,1
32400-36000,856.1111111111111,21.627853808379903,21.195413226406657,22.13524645904059,0.025262905162286714,0.02475778313272679,850.0,24.710000000000026,0.029070588235294147,30.555555555555657,840.0,875.5555555555555,0.0,40.0,827.7777777777777,894.4444444444445,5.0,39.0625,11,4,10,11,11,1.0,0.36363636363636365,0.9090909090909091,1.0,1
36000-39600,844.1666666666666,28.79168118310901,25.1367999268486,26.562941273668642,0.03410663121394947,0.029777058156187877,840.2777777777778,30.88749999999997,0.036758677685950376,35.416666666666515,816.1111111111111,863.3333333333333,10.0,40.0,813.8888888888889,897.2222222222223,3.3333333333333335,0.0,9,3,10,10,11,0.8181818181818182,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
39600-43200,855.3030303030301,28.28575922764272,27.414288425500736,28.604967577258712,0.033071038246668204,0.03205213527162177,841.6666666666666,45.30166666666665,0.0538237623762376,43.05555555555543,836.1111111111111,883.3333333333333,9.090909090909092,36.36363636363637,811.1111111111111,894.4444444444445,2.75,31.25,12,3,11,10,12,1.0,0.25,0.9166666666666666,0.8333333333333334,1
46800-50400,844.7222222222223,24.687692629173306,24.879683041748915,26.356380236093138,0.02922581172805784,0.02945309403166593,834.7222222222223,10.295833333333352,0.012334442595673898,19.444444444444343,830.0000000000001,856.1111111111111,10.0,40.0,822.2222222222222,902.7777777777778,3.3333333333333335,0.0,10,4,10,7,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.6363636363636364,0
