,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,ECG_R_Peaks,ratio p/r peaks,ratio q/r peaks,ratio s/r peaks,ratio t/r peaks,arrythmia
3600-7200,819.1919191919192,26.365619724922787,30.00771505734758,30.772239551636822,0.03218491187136074,0.03663087288134908,822.2222222222222,37.06499999999983,0.045079054054053845,30.555555555555657,794.4444444444443,830.5555555555557,0.0,54.54545454545454,786.1111111111111,869.4444444444445,3.6666666666666665,46.875,12,11,11,12,12,1.0,0.9166666666666666,0.9166666666666666,1.0,1
7200-10800,808.0808080808081,27.39893171338603,30.36557098482698,30.694130214580575,0.033906177995315215,0.03757739409372339,805.5555555555555,24.709999999999944,0.03067448275862062,33.33333333333326,788.8888888888889,827.7777777777777,9.090909090909092,45.45454545454545,772.2222222222223,858.3333333333333,5.5,15.625,12,11,11,12,12,1.0,0.9166666666666666,0.9166666666666666,1.0,0
14400-18000,817.1717171717172,20.25372172087335,18.839805508681295,19.54559229919816,0.024785147717756015,0.023054891784418396,825.0,20.591666666666704,0.024959595959596004,26.388888888888914,802.7777777777778,833.3333333333334,0.0,36.36363636363637,780.5555555555555,841.6666666666666,3.6666666666666665,54.6875,12,11,11,11,12,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1
18000-21600,807.070707070707,26.039015016515165,27.680384818562466,29.14093515158558,0.03226361059618275,0.034297347897843354,797.2222222222223,20.591666666666704,0.02582926829268297,33.33333333333326,786.1111111111111,822.2222222222222,9.090909090909092,36.36363636363637,780.5555555555555,855.5555555555555,3.6666666666666665,0.0,12,11,11,11,12,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
21600-25200,804.2929292929293,23.483762329613178,23.5210701444628,24.499447097705637,0.02919802160918938,0.029244407463759087,805.5555555555555,32.94666666666659,0.04089931034482749,36.111111111111086,780.5555555555555,825.0,0.0,54.54545454545454,775.0,841.6666666666666,3.6666666666666665,0.0,12,11,11,9,12,1.0,0.9166666666666666,0.9166666666666666,0.75,1
25200-28800,818.4343434343435,21.846572437632577,23.207331749117152,24.462675580783177,0.0266931276930037,0.02835576480299411,825.0,8.236666666666816,0.009983838383838565,25.000000000000114,791.6666666666666,830.5555555555557,0.0,36.36363636363637,783.3333333333334,855.5555555555555,3.6666666666666665,46.875,12,11,11,10,12,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0
28800-32400,810.6060606060607,24.932568993848104,22.17007771026099,22.83304045950765,0.030757935581195786,0.027350002408920097,811.1111111111111,24.71000000000011,0.030464383561643972,25.000000000000114,794.4444444444443,825.0,0.0,18.181818181818183,777.7777777777778,858.3333333333333,5.5,15.625,12,11,11,11,12,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
32400-36000,792.8240740740739,63.447733968628334,58.453459764787425,56.59383316989538,0.08002750678670788,0.0737281594697465,805.5555555555557,26.76916666666648,0.033230689655172174,28.47222222222217,783.8888888888889,826.1111111111111,8.333333333333332,41.66666666666667,605.5555555555555,852.7777777777777,4.0,195.3125,13,12,12,12,13,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1
36000-39600,817.6767676767678,23.807118685641786,25.169180644609575,26.529030091311967,0.02911556207385468,0.03078133272163493,819.4444444444445,24.709999999999944,0.03015457627118637,33.333333333333485,791.6666666666666,830.5555555555557,0.0,36.36363636363637,786.1111111111111,863.8888888888889,5.5,0.0,12,11,11,11,12,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
43200-46800,796.9696969696969,24.16681179568637,23.602939762497776,24.76916752351512,0.030323376017401153,0.02961585597575767,797.2222222222223,24.71000000000011,0.03099512195121965,29.16666666666663,777.7777777777778,813.8888888888889,0.0,27.27272727272727,761.1111111111111,844.4444444444445,3.6666666666666665,23.4375,12,11,11,11,12,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
